time,valve
2019-03-07T13:54:13Z,18
2019-03-07T14:08:21Z,24
2019-03-07T14:16:25Z,19
2019-03-07T14:22:29Z,15
2019-03-07T14:40:38Z,12
2019-03-07T14:42:42Z,16
2019-03-07T15:05:36Z,22
2019-03-07T15:18:54Z,17
2019-03-07T15:59:15Z,22
2019-03-07T16:11:59Z,17
2019-03-07T16:47:39Z,22
2019-03-07T16:57:44Z,18
2019-03-07T17:01:00Z,0
2019-03-08T05:30:14Z,88
2019-03-08T05:32:21Z,84
2019-03-08T05:37:45Z,78
2019-03-08T05:41:48Z,71
2019-03-08T05:45:50Z,65
2019-03-08T05:49:54Z,57
2019-03-08T05:53:51Z,51
2019-03-08T05:57:56Z,45
2019-03-08T06:01:59Z,38
2019-03-08T06:06:01Z,30
2019-03-08T06:10:04Z,24
2019-03-08T06:14:08Z,20
2019-03-08T06:16:12Z,15
2019-03-08T06:20:03Z,10
2019-03-08T06:24:07Z,6
2019-03-08T06:30:08Z,2
2019-03-08T06:56:28Z,0
2019-03-08T07:10:29Z,5
2019-03-08T07:26:36Z,10
2019-03-08T07:40:46Z,16
2019-03-08T07:52:50Z,22
2019-03-08T08:08:32Z,17
2019-03-08T08:14:59Z,13
2019-03-08T08:21:02Z,9
2019-03-08T08:55:20Z,15
2019-03-08T09:03:23Z,21
2019-03-08T09:13:28Z,16
2019-03-08T09:36:17Z,12
2019-03-08T09:55:47Z,17
2019-03-08T10:24:00Z,23
2019-03-08T10:30:08Z,18
2019-03-08T10:44:13Z,13
2019-03-08T11:32:36Z,18
2019-03-08T12:16:18Z,25
2019-03-08T12:18:55Z,20
2019-03-08T12:26:59Z,15
2019-03-08T12:35:03Z,12
2019-03-08T12:47:09Z,8
2019-03-08T13:10:01Z,14
2019-03-08T13:19:26Z,19
2019-03-08T13:51:39Z,15
2019-03-08T14:17:55Z,20
2019-03-08T14:28:02Z,15
2019-03-08T15:06:16Z,20
2019-03-08T15:38:35Z,16
2019-03-08T15:44:36Z,21
2019-03-08T15:52:42Z,16
2019-03-08T16:04:45Z,22
2019-03-08T16:10:50Z,16
2019-03-08T16:21:52Z,16
2019-03-08T16:34:11Z,0
2019-03-09T19:17:44Z,5
2019-03-09T20:26:22Z,10
2019-03-09T21:34:53Z,15
2019-03-09T22:31:17Z,20
2019-03-09T23:36:20Z,25
2019-03-10T00:36:17Z,30
2019-03-10T01:30:47Z,36
2019-03-10T01:32:54Z,31
2019-03-10T01:34:56Z,36
2019-03-10T02:27:09Z,41
2019-03-10T02:59:05Z,46
2019-03-10T03:27:40Z,50
2019-03-10T04:07:59Z,56
2019-03-10T04:40:17Z,62
2019-03-10T05:16:33Z,66
2019-03-10T05:56:55Z,61
2019-03-10T06:06:57Z,56
2019-03-10T06:14:58Z,51
2019-03-10T06:21:02Z,46
2019-03-10T06:39:13Z,42
2019-03-10T07:23:31Z,48
2019-03-10T07:48:24Z,43
2019-03-10T07:55:49Z,39
2019-03-10T08:03:50Z,34
2019-03-10T08:07:54Z,30
2019-03-10T08:11:57Z,24
2019-03-10T08:15:59Z,20
2019-03-10T08:17:59Z,21
2019-03-10T08:20:11Z,16
2019-03-10T08:24:00Z,12
2019-03-10T08:30:04Z,8
2019-03-10T08:34:10Z,3
2019-03-10T08:38:11Z,0
2019-03-10T17:10:11Z,5
2019-03-10T17:54:37Z,9
2019-03-10T18:44:58Z,15
2019-03-10T19:35:21Z,20
2019-03-10T20:19:19Z,24
2019-03-10T20:56:02Z,29
2019-03-10T21:50:25Z,34
2019-03-10T22:22:43Z,39
2019-03-10T22:52:59Z,43
2019-03-10T23:27:13Z,49
2019-03-11T00:07:31Z,53
2019-03-11T00:31:44Z,58
2019-03-11T01:10:06Z,64
2019-03-11T01:44:17Z,69
2019-03-11T02:04:32Z,74
2019-03-11T02:38:43Z,78
2019-03-11T02:56:56Z,83
2019-03-11T03:29:42Z,88
2019-03-11T03:53:25Z,93
2019-03-11T04:23:38Z,98
2019-03-11T05:11:59Z,94
2019-03-11T05:15:59Z,89
2019-03-11T05:18:09Z,84
2019-03-11T05:22:06Z,75
2019-03-11T05:24:12Z,70
2019-03-11T05:26:17Z,65
2019-03-11T05:28:29Z,57
2019-03-11T05:30:35Z,100
2019-03-11T06:10:28Z,96
2019-03-11T06:24:33Z,91
2019-03-11T06:32:38Z,86
2019-03-11T06:44:42Z,81
